protocol, transport, type, dst_port, src_ip, src_port, timestamp
smbd, tcp, accept, 445, 62.74.213.178, 1176, 2022-05-07T15:08:48.091297,
smbd, tcp, accept, 445, 62.74.213.178, 1202, 2022-05-07T15:08:48.869184,
smbd, tcp, accept, 445, 62.74.213.178, 1255, 2022-05-07T15:08:50.198560,
smbd, tcp, accept, 445, 62.74.213.178, 1283, 2022-05-07T15:08:50.904213,
smbd, tcp, accept, 445, 62.74.213.178, 1313, 2022-05-07T15:08:51.603572,
smbd, tcp, accept, 445, 62.74.213.178, 1338, 2022-05-07T15:08:52.309051,
smbd, tcp, accept, 445, 62.74.213.178, 1379, 2022-05-07T15:08:53.698220,
smbd, tcp, accept, 445, 62.74.213.178, 1420, 2022-05-07T15:08:54.440758,
smbd, tcp, accept, 445, 62.74.213.178, 1458, 2022-05-07T15:08:55.224204,
smbd, tcp, accept, 445, 62.74.213.178, 1485, 2022-05-07T15:08:55.937662,
smbd, tcp, accept, 445, 62.74.213.178, 1531, 2022-05-07T15:08:57.367454,
smbd, tcp, accept, 445, 62.74.213.178, 1557, 2022-05-07T15:08:58.134843,
smbd, tcp, accept, 445, 62.74.213.178, 1581, 2022-05-07T15:08:58.817145,
smbd, tcp, accept, 445, 62.74.213.178, 1653, 2022-05-07T15:09:00.536512,
smbd, tcp, accept, 445, 62.74.213.178, 1699, 2022-05-07T15:09:01.267782,
smbd, tcp, accept, 445, 62.74.213.178, 1740, 2022-05-07T15:09:01.862439,
smbd, tcp, accept, 445, 62.74.213.178, 1762, 2022-05-07T15:09:02.550405,
mysqld, tcp, accept, 3306, 162.142.125.7, 32828, 2022-05-07T15:09:06.190932,
smbd, tcp, accept, 445, 62.74.213.178, 1805, 2022-05-07T15:09:03.913228,
smbd, tcp, accept, 445, 62.74.213.178, 1829, 2022-05-07T15:09:04.621386,
smbd, tcp, accept, 445, 62.74.213.178, 1853, 2022-05-07T15:09:05.345814,
smbd, tcp, accept, 445, 62.74.213.178, 1877, 2022-05-07T15:09:06.076337,
smbd, tcp, accept, 445, 62.74.213.178, 1924, 2022-05-07T15:09:07.637927,
smbd, tcp, accept, 445, 62.74.213.178, 1955, 2022-05-07T15:09:08.357877,
smbd, tcp, accept, 445, 62.74.213.178, 1998, 2022-05-07T15:09:09.096075,
